"StartDate","EndDate","IPAddress","Duration..in.seconds.","Finished","RecordedDate","LocationLatitude","LocationLongitude","hb_hb_1","hb_hb_2","hb_hb_3","hb_hb_4","nat_nat_1","nat_nat_2r","nat_nat_3","nat_nat_4","nat_nat_5","medSkept_medSkept_1","medSkept_medSkept_2r","medSkept_medSkept_3","medSkept_medSkept_4","medSkept_medSkept_5","medSkept_medSkept_6","diseaseRare_diseaseRare_1","diseaseRare_diseaseRare_2","diseaseRare_diseaseRare_3","diseaseRare_check_5","diseaseSevere_diseaseSevere_1","diseaseSevere_diseaseSevere_2","diseaseSevere_diseaseSevere_3","diseaseSevere_diseaseSevere_4","diseaseSevere_diseaseSevere_5r","vaccEff_vaccEff_1","vaccEff_vaccEff_2r","vaccEff_vaccEff_3r","vaccEff_vaccEff_4","vaccDanger_vaccDanger_1","vaccDanger_vaccDanger_2","vaccDanger_vaccDanger_3","vaccDanger_vaccDanger_4r","vaccTox_vaccTox_1","vaccTox_vaccTox_2","vaccTox_vaccTox_3","vaccTox_vaccTox_4r","vaccStrain_vaccStrain_1","vaccStrain_vaccStrain_2r","vaccStrain_vaccStrain_3","vaccIntent_vaccIntent_1r","vaccIntent_vaccIntent_2","vaccIntent_vaccIntent_3r","vaccIntent_vaccIntent_4","vaccIntent_vaccIntent_5r","infantVuln_infantVuln_1r","infantVuln_infantVuln_2","infantVuln_infantVuln_3","parentDuty_parentDuty_1","parentDuty_parentDuty_2","parentDuty_parentDuty_3","parentDuty_parentDuty_4","parentDuty_check_3","parentExpert_parentExpert_1","parentExpert_parentExpert_2","parentExpert_parentExpert_3","parentExpert_parentExpert_4","parentExpert_parentExpert_5","infantImmLimCap_infantImmLimCap_1","infantImmLimCap_infantImmLimCap_2r","infantImmLimCap_infantImmLimCap_3","infantImmLimCap_infantImmLimCap_4","immSympt_immSympt_1","immSympt_immSympt_2r","immSympt_immSympt_3r","infantImmWeak_infantImmWeak_1","infantImmWeak_infantImmWeak_2","infantImmWeak_infantImmWeak_3","infantImmWeak_infantImmWeak_4r","sex","age","educ","comments","workerId","assignmentId","hitId"
"6/21/17 8:04","6/21/17 8:11","4a592fcc02449026",425,1,"6/21/17 8:11",34.13,-84.57,6,5,5,6,6,4,6,4,3,7,3,4,6,4,6,4,3,3,5,5,5,6,5,2,6,5,4,5,4,5,4,5,4,4,4,5,5,6,4,3,6,6,5,2,5,6,4,7,6,6,6,3,6,5,6,5,5,3,5,3,4,3,5,6,3,3,4,5,0,42,4,"None","1c357f91910f5587","3WJ1OXY92AGZAYDRH9Y6OSTFPBK8A1","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:05","6/21/17 8:12","adbe615da849bc86",419,1,"6/21/17 8:12",36.06,-79.82,3,3,5,5,5,5,3,2,2,5,5,2,2,3,6,2,2,3,5,5,3,6,6,5,5,3,3,3,2,2,2,6,2,2,2,5,2,6,2,2,6,2,6,2,6,3,3,6,5,6,3,3,5,3,6,3,5,3,5,2,3,2,6,6,2,5,5,5,1,63,4,"no","9fe2e3936997f19c","39LOEL67OS5ZQDE68UJW1KF9J1S380","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:06","6/21/17 8:12","4bff5138a5e2e9b7",346,1,"6/21/17 8:12",34.05,-118.24,1,1,1,1,1,7,1,1,1,5,5,1,4,4,4,5,5,1,5,7,7,5,7,1,7,1,1,7,1,4,4,7,1,1,1,7,4,5,4,1,7,4,7,1,1,7,7,6,7,7,7,3,1,1,5,4,1,4,6,1,4,4,4,6,2,3,3,5,0,25,4,"","479628705dcaac55","3XC1O3LBOSMZ41WJHYYRO25DX03TLS","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:06","6/21/17 8:12","58aa040e8d7275eb",368,1,"6/21/17 8:12",40.6,-74,5,4,4,4,5,4,4,2,3,3,5,1,2,2,3,2,4,2,5,5,4,6,5,2,4,2,1,5,1,4,2,5,2,2,2,6,2,5,3,1,7,2,7,1,2,7,6,5,6,7,4,3,3,3,4,3,2,5,2,5,6,3,4,6,6,6,6,2,1,31,4,"","340dbcde9fe251f9","3E7TUJ2EGCMXMAZD6BVMEPWWUKZD9X","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:04","6/21/17 8:12","10bc53227f18580d",445,1,"6/21/17 8:12",36.11,-79.74,2,2,5,1,1,7,1,2,2,2,5,2,2,2,6,7,7,6,5,7,6,6,7,7,6,2,2,6,2,2,2,6,2,2,2,6,2,6,2,2,6,2,6,2,2,7,6,6,2,6,3,3,1,1,5,6,2,2,6,2,3,2,6,6,3,5,5,5,1,53,3,"","79eb6958ba6c21e6","3S96KQ6I9M4G6P8R4H035PX8OR1TDC","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:04","6/21/17 8:12","2b586c526b2e1c13",461,1,"6/21/17 8:12",35.08,-82.44,3,1,3,1,1,7,3,1,1,7,6,1,4,4,4,5,7,6,5,4,5,6,4,4,6,1,1,7,1,2,4,7,1,1,1,7,5,7,5,1,7,4,7,1,5,7,6,6,5,7,3,3,1,1,7,6,1,4,4,4,4,2,6,7,3,6,7,2,1,24,3,"no","1fbca3e62575a2ca","31UV0MXWNQCVTYDNVZJGT6770TO5I0","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:04","6/21/17 8:12","cb0e0d348dcd7969",456,1,"6/21/17 8:12",38.34,-104.52,5,1,4,1,2,6,1,1,1,5,5,1,3,2,3,4,4,4,5,6,5,4,4,1,6,2,1,5,1,3,1,7,1,1,1,7,3,6,2,1,7,2,7,1,5,5,5,4,4,6,3,3,4,5,6,4,2,4,4,4,5,4,6,5,3,6,5,2,0,29,4,"no","1f0af0e16abd8039","3WQQ9FUS6AU4T8IJNNY2J3DL7T58BW","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:08","6/21/17 8:12","a0556a0bec751fbc",253,1,"6/21/17 8:12",39.15,-94.57,5,4,6,5,5,5,6,5,2,6,4,3,4,7,6,3,3,1,5,2,3,3,1,3,3,5,5,2,5,5,5,1,6,5,5,2,6,3,5,7,3,3,1,5,5,4,2,5,5,6,3,3,5,3,7,5,3,5,3,5,5,3,5,5,4,5,5,3,0,42,2,"Thanks","0dcb40b883d1fe4c","336KAV9KYQSPK195HY3LHNYJ62UY2X","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:07","6/21/17 8:12","ff57c36a2820ff93",289,1,"6/21/17 8:12",41.25,-74.61,6,2,6,6,4,6,2,2,1,6,3,1,2,2,6,2,6,2,5,4,6,6,6,2,6,5,2,5,2,2,2,6,2,2,2,6,2,6,5,2,6,2,6,2,6,6,6,6,6,6,6,3,3,2,5,5,1,2,6,2,2,1,6,7,2,5,5,6,0,27,3,"","1e4a369c55467ac5","3018Q3ZVOIQ5S3SNGI46F9OKF38ARF","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:06","6/21/17 8:12","90ca736bf1a7c9a2",404,1,"6/21/17 8:13",41.45,-75.66,5,4,5,4,2,6,2,1,3,4,6,2,2,2,4,1,2,1,5,7,5,6,4,1,6,4,1,6,1,2,2,7,2,1,2,6,5,6,2,1,7,1,7,1,5,5,5,5,3,6,4,3,3,3,6,4,3,6,4,4,4,3,5,5,2,4,5,4,1,31,3,"","df3c1c35299591aa","39O5D9O87TS12G4JP6Z136BS9SD3C6","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
